<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OI>
RDSA,D,20100104,21.26,21.60,21.215,21.58,5141127
RDSA,D,20100105,21.63,21.77,21.50,21.725,5714816
RDSA,D,20100106,21.665,21.74,21.52,21.57,6060348
RDSA,D,20100107,21.515,21.54,21.325,21.505,8011212
RDSA,D,20100108,21.545,21.555,21.23,21.38,9461664
RDSA,D,20100111,21.48,21.665,21.41,21.45,6183621
RDSA,D,20100112,21.41,21.42,21.015,21.17,8339378
RDSA,D,20100113,21.00,21.075,20.80,21.02,10218125
RDSA,D,20100114,21.12,21.13,20.87,21.005,7591758
RDSA,D,20100115,21.125,21.335,20.95,20.95,13531894
RDSA,D,20100118,21.08,21.175,20.96,21.085,4077159
RDSA,D,20100119,21.125,21.42,20.885,21.385,6720320
RDSA,D,20100120,21.355,21.50,21.20,21.29,8009076
RDSA,D,20100121,21.39,21.45,20.985,21.025,8699430
RDSA,D,20100122,20.98,21.135,20.585,20.67,10818112
RDSA,D,20100125,20.50,20.745,20.50,20.57,7281563
RDSA,D,20100126,20.525,20.715,20.43,20.695,7752801
RDSA,D,20100127,20.52,20.69,20.34,20.465,6866399
RDSA,D,20100128,20.62,20.64,20.095,20.095,8760172
RDSA,D,20100129,20.15,20.39,20.15,20.195,6631214
RDSA,D,20100201,20.055,20.32,19.975,20.265,8026706
RDSA,D,20100202,20.20,20.485,19.94,20.445,8644779
RDSA,D,20100203,20.49,20.51,20.32,20.395,5031263
RDSA,D,20100204,20.10,20.155,19.825,19.945,15890754
RDSA,D,20100205,19.80,19.90,19.525,19.775,13870531
RDSA,D,20100208,19.92,20.07,19.645,20.005,7781169
RDSA,D,20100209,20.03,20.045,19.755,19.95,8745018
RDSA,D,20100210,19.90,19.915,19.585,19.64,9284092
RDSA,D,20100211,19.775,20.125,19.61,20.085,12144137
RDSA,D,20100212,20.25,20.32,19.87,19.90,10047785
RDSA,D,20100215,19.97,20.115,19.92,19.945,4105948
RDSA,D,20100216,20.125,20.195,19.975,20.18,6102371
RDSA,D,20100217,20.315,20.405,20.24,20.295,6724326
RDSA,D,20100218,20.265,20.45,20.265,20.44,5514659
RDSA,D,20100219,20.37,20.545,20.32,20.49,6322754
RDSA,D,20100222,20.555,20.59,20.355,20.40,4005745
RDSA,D,20100223,20.50,20.57,20.145,20.245,7428395
RDSA,D,20100224,20.28,20.42,20.165,20.35,7040534
RDSA,D,20100225,20.37,20.37,19.86,19.92,8238402
RDSA,D,20100226,20.13,20.13,19.83,20.015,8099892
RDSA,D,20100301,20.10,20.44,20.05,20.435,15604667
RDSA,D,20100302,20.465,20.57,20.35,20.56,6232053
RDSA,D,20100303,20.515,20.75,20.40,20.66,5665182
RDSA,D,20100304,20.575,20.735,20.525,20.69,5416921
RDSA,D,20100305,20.69,20.92,20.60,20.885,7215080
RDSA,D,20100308,20.95,20.995,20.81,20.915,4327670
RDSA,D,20100309,20.99,21.04,20.85,21.005,5235146
RDSA,D,20100310,21.015,21.265,20.96,21.19,6612952
RDSA,D,20100311,21.15,21.315,21.11,21.205,5461542
RDSA,D,20100312,21.20,21.40,21.125,21.23,5661014
RDSA,D,20100315,21.21,21.24,21.05,21.07,5180289
RDSA,D,20100316,21.185,21.51,21.17,21.43,14011320
RDSA,D,20100317,21.50,21.945,21.43,21.87,9159830
RDSA,D,20100318,21.70,21.975,21.695,21.89,6397948
RDSA,D,20100319,21.92,22.055,21.545,21.585,11587294
RDSA,D,20100322,21.58,21.585,21.31,21.53,7221087
RDSA,D,20100323,21.59,21.705,21.45,21.62,5925121
RDSA,D,20100324,21.65,21.72,21.48,21.65,6350012
RDSA,D,20100325,21.70,21.765,21.505,21.545,5900300
RDSA,D,20100326,21.50,21.585,21.38,21.405,6225520
RDSA,D,20100329,21.50,21.50,21.20,21.325,4990566
RDSA,D,20100330,21.405,21.515,21.365,21.42,4305471
RDSA,D,20100331,21.415,21.51,21.285,21.415,4895567
RDSA,D,20100401,21.465,21.75,21.465,21.75,6914551
RDSA,D,20100406,21.95,22.195,21.95,22.175,7526398
RDSA,D,20100407,22.20,22.35,22.08,22.08,7491851
RDSA,D,20100408,22.00,22.135,21.835,22.045,5102329
RDSA,D,20100409,22.23,22.47,22.22,22.43,7492619
RDSA,D,20100412,22.50,22.535,22.21,22.37,4516851
